run_id,source,item_index,title,summary,keywords,supertag,status
85d652d663054ed092c5378fd7fdacf1,020_ner_MZ313548_F24_ES_El_Debate,11,Manifestaciones contra Trump: ¿la democracia de Estados Unidos está más viva que nunca?,"El sábado 14 de junio, miles de personas salieron a las calles en los Estados Unidos para protestar contra la acción del presidente Donald Trump. Estas marchas, bajo el eslogan No Kings (No Reyes), fueron una respuesta al desfile militar que se celebró en Washington con motivo de los 250 años del ejército estadounidense y al aumento de las tensiones políticas en el país. En Los Ángeles, la Guardia Nacional y los Marines fueron desplegados ante las protestas en contra de las redadas de migrantes, mientras que en Minnesota un hombre armado mató a la representante a la Cámara Estatal Melissa Horman, quien era demócrata. En este contexto, se ha preguntado si estas manifestaciones son una muestra de que la democracia de Estados Unidos está más viva que nunca.","Protestas, Manifiestaciones, Donald Trump, Democracia, Ejército estadounidense","América Latina, EE.UU. y Canadá",completed
307e3958c35e4d9c8f66871da3f1a170,021_ner_MZ313559_F24_ES_En_foco,12,La desaparición del Mar Caspio amenaza la economía de Kazajistán,"El agua del Mar Caspio ha desaparecido en menos de 20 años y está afectando el medio ambiente y la economía regional. Las causas incluyen el calentamiento global y la sobreexplotación de los ríos que lo alimentan, especialmente por parte de Rusia, con nuevas presas y centrales hidroeléctricas que alteran el caudal de los ríos. La disminución del agua amenaza a los esturiones salvajes del Mar Caspio, que producen el famoso caviar, y sus empleos, ya que son la base económica de millones de kazajos.","Mar Caspio, Kazajistán, Caviar, Agüas recedidas, Rusia",Economía,completed
0b68192f72b84f2596f0287b1c1c402c,012_ner_MZ450597_F24_EN_EYE_ON_AFRICA,13,Algeria Upholds Sansal's Five-Year Prison Sentence Amidst Diplomatic Rift with France,"French-Algerian author Boualem Sansal was sentenced to five years in prison for undermining national unity by Algerian court, rejecting a push from prosecutors to double the sentence. French Prime Minister François Bayrou vowed that the country will continue fighting for Sansal's freedom, promising pardon measures. The case has deepened a diplomatic rift with France, raising concerns about freedom of expression.","Boualem Sansal, France, Algeria, diplomatic rift, literature",Europe,completed
950d3780bbdb4a47890518370219953e,004_ner_F24_FR_JOURNAL_AFRIQUE_MZ532609,14,L'histoire douloureuse d'Ife : une cité médiévale incontournable de l'Afrique,"Ife est une ville située au Nigeria, considérée comme le creuset de la population Yoruba. Riche de son passé et son patrimoine culturel, la cité est à l'origine de nombreux récits mythiques et d'une hégémonie historique sur les autres cités voisines comme Oyo. Ce travail de Léa Roth nous plonge dans cette cité médiévale en dévoilant ses enjeux historiques et les controverses entourant plusieurs récits sur son origine.

La ville est aujourd'hui un symbole important pour le peuple Yoruba, mais elle reste méconnue de beaucoup. Les archéologues ont découvert de nombreux artefacts à Ife, comme des pavements, des têtes en bronze et en terre cuite, ainsi qu'une grande industrie de verrerie locale.

Léa Roth a exploré cette histoire très longue dans sa thèse intitulée 'Pavé y fait, archéologie et espaces connectés dans le centre urbain ouest africain'. Dans ce travail, elle met en lumière la complexité de l'organisation sociale à Ife, et décrit les controverses entourant plusieurs récits sur son origine.

Le Loni d'Ife est un des plus grands discours politiques de l'époque. On retrouve cette importance de la ville dans les livres et les couvertures de livres. Elle est au centre de débat pour avoir une hégémonie historique sur d'autres cités comme Oyo.

Léa Roth a également exploré l'importance de ce récit pour les historiens, les chercheurs, les activistes, les intellectuels et les hommes politiques.","Ife, Yoruba, histoire médiévale, patrimoine culturel, art étrusque",Culture,completed
4c95ab3a4d9a4cd9b7e08a216406cfd9,006_ner_F24_FR_En_tete_tete_MZ503321,15,Défi extrême : le Tibet sous le régime de Xi Jinping,"La Chine intensifie sa répression sur le Tibet sous la dictature de son président actuel. Même si les manifestations ont pratiquement disparu, il y a eu des cas d'auto-immolation avec plus de 157 personnes qui se sont brûlées vive depuis 2008 pour protester contre l'occupation chinoise. Malgré le souhait d'un grand nombre de Tibétains, le Tibet n'a pas l'espoir d'autonomie ou d'indépendance.","Tibet, Chine, Xi Jinping, protestation, auto-immolation",Asie-Pacifique,completed
9e0f3945007d4160a8cc2789e5a435e1,010_ner_RFI_FR_journal_des_sports_afrique_MZ535147,16,Le championnat congolais de football : Aigle du Congo rêve d'un premier titre historique,"Le championnat national en République démocratique du Congo approche de son terme. Le leader, l'Aigle du Congo, vise son tout premier titre en battant le formidable Mazembe. En même temps, le FC Saint-Éloi-Loupopo se prépare à affronter Kinshasa pour détrôner l'AS Maniema Union et gagner un nouveau titre national, après 23 ans de disette. La compétition est intense et plusieurs équipes ont une chance d'emporter le sacre.","République démocratique du Congo, Football, Championnat, Ligue 1, Aigle du Congo",Sports,completed
2c32663185d14070a848294f69171bc9,003_ner_F24_FR_JOURNAL_AFRIQUE_MZ534462,17,La rumeur macabre du 'vol de sexe' en Afrique,"La rumeur est un phénomène universel mais elle est particulièrement développée sur le continent africain. Ce récit raconte deux rumeurs qui ont circulé dans plusieurs pays d'Afrique depuis les années 70 : l'offrande de la mort et le 'vol de sexe'. On apprend comment ces rumeurs se sont propagées, ce que leur signification est pour les sociétés africaines contemporaines et quelle place occupent les médias dans cette diffusion. De plus, on découvre comment certaines rumeurs ont pu être utilisées comme arme de désinformation.","Rumeur, Afrique, vol de sexe, offrande de la mort, désinformation",Culture,completed
fbca1e29a8014057988e89bfef4497e2,016_ner_MZ450158_F24_EN_Down_Earth,18,Drones Help Rescue Newborn Roe Deer Fawns from Farmlands,"In France, roe deer fawns are being accidentally killed by farmers mowing their fields during the birthing season due to a mismatch between the early rising temperatures and the traditional birthing period of does. An NGO is using high-tech drones equipped with thermal cameras to spot and relocate the newborn fawns before they are harmed. The challenge lies in covering large areas of land, but so far, the team has managed to find a few fawns and successfully relocate them to safer spots.","France, Roe deer, Fawn rescue, Thermal drone, Climate change",Environment,completed
14646f043d194c2fad149d3958a6da01,022_ner_F24_ES_En_foco_MZ314172,19,Narcocorridos: el combate de los cantantes para la seguridad personal,"Luego del ataque físico sufrido por Luis R. Conríquez, otros artistas han decidido mantener un perfil bajo para evitar problemas con el gobierno. Los narcocorridos son populares en México y algunos cantantes trabajan como voceros de grupos criminales que financian sus carreras y encargan canciones. Sin embargo, las autoridades han prohibido los conciertos públicos de este género. Daniel, productor y amigo del grupo, conoce bien los destinos trágicos que han corrido algunos de estos artistas. Los asesinatos de intérpretes de narcocorridos en México han aumentado en los últimos años, incluyendo a Charino Sánchez y Sergio Vega.","narcocorrido, Luis R. Conríquez, asesinato, grupo delictual, Daniel",Cultura,completed
a83b8debd33b4ef3b389179e8d4ac328,019_ner_MZ315513_F24_ES_El_Debate,20,Estados Unidos y Irán anuncian cese al fuego luego de intensos combates en Medio Oriente,"Los días anteriores se han producido importantes enfrentamientos entre ambos países, lo que ha llevado a la destrucción de varias instalaciones nucleares iraníes y al aumento de las tensiones en la región. Ahora, Donald Trump ha anunciado un cese al fuego completo entre Irán e Israel, que se espera que dure al menos seis horas.","Atentados, Medio Oriente, Tregua, Donald Trump, Iran",América-Latina y Caribe,completed
17a4633d9e074a94b13fcc22e0a730ca,008_ner_RFI_FR_grand_invite_Afrique_MZ535421,21,Économie mondiale : L'Europe se réoriente vers de nouveaux financements pour le développement,"Les rencontres de l'officiel africain Aona Eziak-Onwa à Bruxelles ont révélé une volonté croissante de l'Europe de soutenir le financement du développement à travers des partenariats incluants. L'aide américaine au développement récemment suspendue a poussé l'Europe à faire plus de choses et à se concentrer sur un financement plus efficace et inclusif. Le secteur privé est vu comme une partie importante de cette solution, avec des mesures comme la réduction du coût du capital et la restructuration de la dette en place pour aider les pays africains. La conférence internationale sur le financement du développement à Séville prochainement sera un moment crucial pour repenser la coopération internationale en termes de développement.","Développement, Europe, Partenariat, Financement, Soutien",Économie,completed
