text,label
"Setting sights on Delgado Fresh off the Pedro Martinez signing, the Mets didn #39;t waste much time before moving on to their next order of business. A baseball official with knowledge of the team #39;s plans ",1

"Lincoln-Sudbury grad achieves her goals at MIT Sudbury's Betty Zheng, a senior assistant captain on the Massachusetts Institute of Technology women's ice hockey team, will always remember MIT's Dec. 3 game against Chatham (Pa.) College.",1
"Garry's possession skills displayed at UMass-Lowell Its's no coincidence that since Medway's Tim Garry suited up for the UMass-Lowell men's soccer team, the River Hawks have won back-to-back Northeast-10 Conference Tournament championships and earned a pair of automatic bids to the NCAA Tournament.",1
"Stehle leading Crimson in rebounds and steals Former Newton South High School basketball and golf captain Matt Stehle is now a junior at Harvard University, where the 6-foot-8-inch forward was leading the men's basketball team in rebounding and steals and was second in scoring through six games.",1
Woods is an exchange student You think the rush to exchange presents Dec. 26 will be furious? It might not compare with the mad dash of folks looking to reassess their 2004 viewpoints of one Tiger Woods.,1
"Time Warner pays up Agrees to \$210M Justice Dept. deal and proposes paying an additional \$300M to end SEC probe. BY HARRY BERKOWITZ. Seeking to remove a cloud that has lingered over Time Warner for years, the media giant said yesterday ",2
"Fed hikes benchmark rate by a quarter point NEW YORK, December 15 (newratings.com) - The US Federal Reserve announced yesterday a widely expected quarter point hike in its overnight lending rate, the fifth hike since June this year.",2
"Are cellphones meant to fly? Airline travel has always been a welcome refuge from the incessant chatter of cellphone users, so it is sobering to hear that regulators are thinking of allowing the use of cellphones up in the friendly skies.",2
"A mother's search for her children The island of Car Nicobar has been devastated by the tsunami, with around half its population unaccounted for, as the BBC's Jonathan Charles discovered.",0
"GEICO vs Google Ads: Google Wins abertoll writes  quot;A federal judge decided that Google is able to sell ads under the GEICO trademark, claiming that this is fair use of the trademark.",2
"Holiday crackdown on unsafe drivers getting early start Alcohol-related auto accidents increase sharply during the holidays compared with other times in December, a study by the National Highway Traffic Safety Association shows.",2
"Wal-Mart Fires 7 Execs, Managers Wal-Mart Stores Inc. (WMT.N: Quote, Profile, Research) fired three executives and four managers from its Bentonville, Arkansas headquarters for violating company rules, the company said on Wednesday.",2
"Hollywood vs BitTorrent p2pnet.net News:- Yesterday, the major movie studios turned their MPAA (Motion Picture Association of America) loose on BitTorrent and eDonkey p2p networks, claiming the effort is necessary to bring file-sharing under control.",3
"HP confirms that Itanium is Intel #39;s responsibility HP and Intel have confirmed earlier reports that located a massive migration of HP Itanium boat people making their way to Intel. True to speculation, Intel has agreed to hire hundreds of HP #39;s Itanium engineers working at a Ft.",3
" #39;Wearable #39; solar panels to charge mobiles Wearable solar panels that could charge mobile phones, music players or light batteries are likely to go on sale within three years, according to New Scientist magazine.",3
NEC licenses Honeywell LCD tech Honeywell #39;s legal action against 34 electronics and computing companies for allegedly infringing one of its LCD patents has yielded its first public licensing agreement.,3
"Let the new owner pay Congratulations to Linda Cropp and her fellow DC council members who voted with her Tuesday night. By insisting that private funding be included for a new baseball stadium in Washington, they did the right thing.",1
NBA Game Preview (Sports Network) - The Detroit Pistons will try to avoid their first three- game losing streak of the season when they head to Madison Square Garden to battle the New York Knicks.,1
"Successful, respected coach usually has last laugh Before we talk about the possibility Rick Majerus is the greatest coaching hire in USC sports history, let #39;s acknowledge that his arrival Wednesday raised a number of questions.",1
"Bryant is sorry; Shaq justhasnothingtosay With their Christmas Day showdown nine days away, Lakers guard Kobe Bryant and Heat center Shaquille O #39;Neal shared thoughts Wednesday on their upcoming reunion game at Staples Center.",1
"Sky #39;s the limit when it comes to Sox spending If you want to get a rise out of a small-market general manager, ask him about the Red Sox being limited by their budget. Already this weekend at the winter meetings, we #39;ve ",1
"Peace may now stand a chance In his olive nylon bomber jacket, olive fatigue pants and black combat boots, Al-Aqsa Martyr #39;s Brigades member Abu Said sees himself as a soldier, fighting Israeli occupation of Palestinian land.",0
"British official resigns over nanny scandal Britain #39;s top law enforcement officer, a key member of Tony Blair #39;s Cabinet, resigned Wednesday after acknowledging that his department fast-tracked a visa for his former lover #39;s nanny.",0
"Pakistan seeks investors for port Pakistan plans to invite foreign investors to operate its new port of Gwadar, an unusual step for a country that has attracted little foreign capital.",0
"Oil prices jump after US reports lower supplies Oil futures prices bolted 5 percent higher yesterday, climbing above \$44 a barrel after US government data showed a slight decline in crude and heating oil supplies ",2
"Airbus forecasts increased demand for its largest fleet Airbus, the world #39;s biggest maker of commercial aircraft, forecast yesterday that airlines will need 1,902 jumbo planes over the next 20 years -- more than double the forecast of its rival, The Boeing Co.",2
"'Truly' takes San Gabriel Truly a Judge edged Star Cross by a length yesterday in Arcadia, Calif., to win the \$150,000 San Gabriel Handicap at Santa Anita Park.",1
"Portable panels mean power in your pocket London - European scientists have developed light, flexible solar panels that could be sewn on fabrics and placed on surfaces to charge objects ranging from cellphones and DVD players to batteries.",3
"STN-LCD maker EDT projects above 130 CSTN capacity growth in 2Q &lt;b&gt;...&lt;/b&gt; Emerging Display Technologies (EDT), specializing in small-to-medium STN/CSTN-LCD panels, will ramp up its monthly capacity for CSTN LCDs from 30,000 units at present to 70,000 in the second quarter of 2005, according to the company.",3
Replacements on US team? A labor dispute between the United States Soccer Federation (USSF) and players has halted World Cup preparations and could result in the national team using replacement players for the Feb.,1
"Tokyo's Nikkei Average Closes Lower  TOKYO (Reuters) - Tokyo's Nikkei average closed lower  Thursday, ending a three-day winning streak as profit-taking  hit Toyota Motor Corp. and other exporters that had benefited  from gains on Wall Street and a weaker yen.",2
ABN AMRO Leads European Shares Higher  LONDON (Reuters) - European shares opened firmer on  Thursday led by ABN AMRO as investors applauded the savings the  Dutch broker will make from cutting jobs.,2
Google wins trademark ruling over online advertising policy Google Inc. won a major legal victory yesterday when a federal judge ruled that the search engine's advertising policy does not violate federal trademark laws.,2
"Ex-Serono executive charged in bribery case Federal prosecutors yesterday alleged that a former sales director for Serono Inc. offered doctors bribes in return for prescribing its AIDS treatment as part of a marketing program at the Swiss drug company, whose main US offices are in Rockland.",2
Pioneering McCaw at epicenter of cell deals The announced union of Sprint and Nextel Communications yesterday marked the second mega-deal in the wireless industry this year - and the second involving a life change for a Craig McCaw-built venture.,2
"Kansas rallies to nip Georgia Tech in OT Keith Langford's twisting shot with three seconds left in overtime capped a comeback from a 16-point deficit and lifted second-ranked Kansas to a 70-68 victory over No. 9 Georgia Tech yesterday at Lawrence, Kan.",1
"Accounting department  As Papa Griffith used to say every Jan. 1, ""Well, it looks like we made it through another year.""",1
"Holiday traveler outlook: no gifts MANATEE - Expect airports and roads to be even more crowded than usual this holiday season. That #39;s the word from AAA, which predicted Wednesday that a record number of Americans and Floridians will travel during the Christmas and New Year #39;s holidays.",2
"Tennessee topples Aggies with ease DALLAS -- Looking nothing like the third-string quarterback he was most of the season, Rick Clausen led No. 15 Tennessee to five touchdowns in just 2 1/2 quarters and the defense had its way with 22d-ranked Texas A amp;M in a 38-7 victory in the Cotton Bowl yesterday. Winning was nice enough for the Vols after losing their last two bowl ...",1
Notebook: Washington move in jeopardy Major League Baseball is poised to cancel the move of the Montreal Expos to Washington after the District of Columbia Council on Tuesday amended the agreement ,1
"Seminoles end on high note JACKSONVILLE, Fla. -- Nice recovery, Chris Rix. Coach Bobby Bowden stuck with his struggling quarterback and Rix eventually sparked No. 17 Florida State with two long second-half touchdown drives yesterday, beating West Virginia, 30-18, in the Gator Bowl.",1
"Antonio Tarver #39;s Transcendent Dreams By Patrick Kehoe: World light-heavyweight champion Antonio Tarver may be 35 and yet he #39;s not about to indulge in limits, conditional options or relativism of any kind.",1
Jones sues her accuser Marion Jones has filed a 12million lawsuit for defamation against the man who alleged he supplied her with performance-enhancing drugs.,1
"Nuggets win on Anthony #39;s shot Anthony #39;s 15-foot jumper with 3.6 seconds remaining gave the Nuggets a 100-99 victory over the Boston Celtics on Wednesday night, the fifth stop on Denver #39;s seven-game road trip.",1
GM seeks mediation to resolve dispute with Fiat The heads of General Motors Corp. and Italy #39;s Fiat SpA are expected to meet in the next four weeks to try and resolve their dispute over whether Fiat can force GM to buy the ailing Fiat Auto subsidiary.,2
Weak Dollar Sending More US Investors Abroad Americans have been stepping up their purchases of foreign stocks and bonds as the dollar #39;s decline has accelerated and foreigners have slowed their buying of securities in the United States.,2
"COL BKB: North Car. St. 78, Lou.-Laf. 72 Andrew Brackman helped rally ninth-ranked North Carolina State to a tougher-than-expected, 78-72 victory over Louisiana-Lafayette Wednesday night.",1
"Pistons persevere, knock off Knicks The Pistons trailed almost the entire game. They led for only 42.6 seconds. They were down by 16 at halftime, down by five in the fourth quarter, down by four with 1:42 left, down by three with 34.4 seconds left.",1
Prairie Dog Won't Be on Endangered List (AP) AP - The black-tailed prairie dog has been dropped from a list of candidates for the federal endangered species list because scientists have concluded the rodents are no longer threatened.,3
Hubble Trouble: One of Four Instruments Stops Working (SPACE.com) SPACE.com - One of the four astronomical instruments on the Hubble Space Telescope shut down earlier this week and engineers are trying to pin down the problem. The other three instruments continue to operate normally.,3
"Invasive Purple Weed May Meet Its Match (AP) AP - They burned it, mowed it, sprayed it and flooded it. But nothing killed the purple loosestrife weed, which has become a regional plague, until officials at the Parker River National Wildlife Refuge set a European beetle loose on it.",3
