taxonomy,id,name,slug,post_count,parent_id,spacy_entity,spacy_normalized,wikidata_id,wikidata_label,wikidata_description
post_tag,2127,Advanced REST client,advanced-rest-client,1,0,ORG,Advanced REST client,,,
post_tag,725,aérien,aerien,1,0,,aérien,Q3346336,aerial acrobatic,circus arts discipline
post_tag,2420,AES,aes,1,0,MISC,AES,Q190746,Advanced Encryption Standard,block cipher standard
post_tag,328,afcomponents,afcomponents,1,0,PERSON,afcomponents,,,
post_tag,687,Afghanistan,afghanistan,1,0,LOC,Afghanistan,Q889,Afghanistan,country in Central and South Asia
post_tag,2471,AFP,afp,1,0,ORG,AFP,Q40464,Agence France-Presse,international news agency headquartered in Paris
post_tag,830,Africascopie,africascopie,2,0,PERSON,Africascopie,,,
post_tag,831,Afrique,afrique,3,0,LOC,Afrique,Q15,Africa,continent
post_tag,1461,agat films,agat-films,1,0,,agat films,Q20724296,Agat Films & Cie – Ex Nihilo,French film production company
post_tag,1082,Agathe Films,agathe-films,2,0,PERSON,Agathe Films,,,
post_tag,1512,agence photo VII,agence-photo-vii,1,0,,agence photo VII,,,
post_tag,953,agence VU,agence-vu,2,0,LOC,agence VU,Q2826571,Agence Vu,French photo agency
post_tag,3311,agentic browsers,agentic-browsers,1,0,LOC,agentic browsers,,,
post_tag,2498,Aggie.io,aggie-io,1,0,MISC,Aggie io,,,
post_tag,2194,Agile,agile,23,0,LOC,Agile,Q30232,agile software development,group of iterative and incremental development methods
post_tag,2399,Agile Toolkit,agile-toolkit,3,0,MISC,Agile Toolkit,,,
post_tag,3103,agile2,agile2,1,0,,agile2,,,
post_tag,2547,AI,ai,11,0,LOC,AI,Q11660,artificial intelligence,field of computer science that develops and studies software enabling machines to exhibit intelligent behavior
post_tag,3327,AI agents,ai-agents,1,0,LOC,AI agents,Q1142726,intelligent agent,"agent that perceives its environment, takes actions autonomously in order to achieve goals, and may improve its performance with learning or acquiring knowledge"
post_tag,3251,AI assistants,ai-assistants,2,0,LOC,AI assistants,Q126866686,AI Assistants and the Paradox of Internal Automaticity,scholarly article
post_tag,3248,AI ethics,ai-ethics,1,0,MISC,AI ethics,Q12727779,ethics of artificial intelligence,ethics of technology specific to robots and other artificially intelligent beings
post_tag,3210,AI experiments in MLflow,ai-experiments-in-mlflow,1,0,LOC,AI experiments in M Lflow,,,
post_tag,3245,AI exploration,ai-exploration,1,0,LOC,AI exploration,,,
post_tag,3205,AI from POC to scaling,ai-from-poc-to-scaling,1,0,MISC,AI from POC to scaling,,,
post_tag,3208,AI industrialization with MLflow,ai-industrialization-with-mlflow,1,0,MISC,AI industrialization with M Lflow,,,
post_tag,3213,AI JSON validation,ai-json-validation,1,0,MISC,AI JSON validation,,,
post_tag,3304,AI presentations,ai-presentations,1,0,LOC,AI presentations,,,
post_tag,3038,AI Product Owner,ai-product-owner,3,0,MISC,AI Product Owner,,,
post_tag,2549,AI takeover,ai-takeover,2,0,LOC,AI takeover,Q2254427,AI takeover,hypothetical scenario in which AI becomes the dominant form of intelligence on Earth
post_tag,3277,AI tools,ai-tools,1,0,MISC,AI tools,Q138777117,"AI Tools, Not Gods",
post_tag,3236,AI-Generated Text,ai-generated-text,1,0,MISC,AI Generated Text,Q116921423,AI-generated text,text generated by a natural language model
post_tag,410,Aide,aide,2,0,LOC,Aide,Q4663261,Wikipedia:Stub,Wikipedia page explaining stubs and conventions around them
post_tag,1040,AIR,air,1,0,MISC,AIR,Q318452,Air,French electronic music band
post_tag,568,Airbnb,airbnb,1,0,ORG,Airbnb,Q63327,Airbnb,American online platform for rental accommodations
post_tag,15,Ajax,ajax,2,0,PERSON,Ajax,Q134471,AJAX,group of interrelated Web development techniques
post_tag,1918,Akamai,akamai,1,0,MISC,Akamai,Q415598,Akamai Technologies,"American content delivery network, cybersecurity, and cloud service company"
post_tag,696,Al Jazeera,al-jazeera,1,0,PERSON,Al Jazeera,Q13477,Al Jazeera,Qatari international television channel
post_tag,2641,Al Sweigart,al-sweigart,1,0,PERSON,Al Sweigart,Q125994279,Al Sweigart,American software developer and writer
post_tag,1632,Alain Bauer,alain-bauer,1,0,PERSON,Alain Bauer,Q2829541,Alain Bauer,French criminologist (1962-)
post_tag,1703,Alain Devalpo,alain-devalpo,1,0,PERSON,Alain Devalpo,Q116280308,Alain Devalpo,
post_tag,2275,Albert Camus,albert-camus,1,0,MISC,Albert Camus,Q34670,Albert Camus,"French philosopher, author, and journalist (1913–1960)"
post_tag,1316,alexander knetig,alexander-knetig,1,0,PERSON,alexander knetig,,,
post_tag,1198,Alexandre Brachet,alexandre-brachet,4,0,PERSON,Alexandre Brachet,Q95814353,Alexandre Brachet,
post_tag,1249,Alexis Sarini,alexis-sarini,4,0,PERSON,Alexis Sarini,,,
post_tag,1413,Algérie,algerie,3,0,LOC,Algérie,Q262,Algeria,country in North Africa
post_tag,818,Allemagne,allemagne,1,0,LOC,Allemagne,Q183,Germany,country in Central Europe
post_tag,194,alpha,alpha,1,0,,alpha,Q28914205,Alpha,unisex given name
post_tag,923,alves,alves,1,0,,alves,Q28933884,Alves,family name
post_tag,478,Amazon,amazon,4,0,ORG,Amazon,Q3884,Amazon,American multinational technology company
post_tag,752,Amazonie,amazonie,2,0,LOC,Amazonie,Q30745841,Amazonie,village in Cameroon
post_tag,1448,aménagement urbain,amenagement-urbain,1,0,,aménagement urbain,Q63100,urban design,"process of designing and shaping cities, towns and villages for specific outcomes"
post_tag,213,amfphp,amfphp,1,0,PERSON,amfphp,Q4745972,AmfPHP,PHP library for creating application back ends
post_tag,1834,amour,amour,1,0,,amour,Q637820,Amour,2012 Austrian-German-French film directed by Michael Haneke
post_tag,1556,Amour 2.0,amour-2-0,1,0,MISC,Amour 2 0,,,
post_tag,2318,AMP,amp,1,0,MISC,AMP,Q25272,ampere,SI unit of electric current
post_tag,167,Amphp,amphp,1,0,PERSON,Amphp,Q66309573,AmphPiBtl 130,
post_tag,2532,Anaconda,anaconda,13,0,LOC,Anaconda,Q483539,Anaconda,"city in and county seat of Deer Lodge County, Montana, United States"
post_tag,1726,analphabétisme,analphabetisme,1,0,,analphabétisme,Q485100,illiteracy,inability to read and write
post_tag,2258,analyse,analyse,13,0,,analyse,Q217602,analysis,"process of applying analytical methods to existing data of a specific type, breaking a complex topic or substance into smaller parts in order to gain a better understanding of it"
post_tag,2833,Analytics,analytics,2,0,MISC,Analytics,Q485396,analytics,"discovery, interpretation, and communication of meaningful patterns in data"
post_tag,1748,Andrei Gromyko,andrei-gromyko,1,0,PERSON,Andrei Gromyko,Q184267,Andrei Gromyko,Soviet diplomat
post_tag,1317,andrew devigal,andrew-devigal,1,0,PERSON,andrew devigal,,,
post_tag,1919,Andrew G King,andrew-g-king,1,0,PERSON,Andrew G King,,,
post_tag,2238,Android,android,28,0,MISC,Android,Q94,Android,operating system created by Google for use on mobile devices
post_tag,533,Android SDK,android-sdk,1,0,MISC,Android SDK,Q29364625,Android SDK,set of software tools for developing Android software
post_tag,781,Animation,animation,5,0,MISC,Animation,Q11425,animation,method of creating moving pictures
post_tag,2179,animations,animations,1,0,,animations,Q202866,animated film,"film for the cinema, television or computer screen that is made by using drawings, stop motion or computer animation"
post_tag,782,Animoto,animoto,1,0,PERSON,Animoto,Q4765211,Animoto,online video creation service
post_tag,819,Anne Mailliet,anne-mailliet,1,0,PERSON,Anne Mailliet,Q84595482,Anne Mailliet,French journalist
post_tag,1318,anne vierhout,anne-vierhout,1,0,PERSON,anne vierhout,,,
post_tag,1462,annecy,annecy,1,0,LOC,annecy,Q50189,Annecy,"commune in Haute-Savoie, France"
post_tag,157,annonces,annonces,2,0,,annonces,Q567303,announcement,"printed, spoken, or published statement or notice of an event or other news"
post_tag,3034,annotations,annotations,1,0,,annotations,Q567345,Java annotation,syntactic metadata for Java source code
post_tag,3331,Anthropic,anthropic,2,0,LOC,Anthropic,Q116758847,Anthropic,American artificial intelligence corporation
post_tag,170,anti-spam,anti-spam,1,0,,anti spam,Q2392270,anti-spam techniques,"methods, strategies, and techniques to prevent and counter unwelcome mass messaging"
post_tag,1226,Antoine Lefébure,antoine-lefebure,1,0,PERSON,Antoine Lefébure,Q2854150,Antoine Lefébure,
post_tag,1463,antoine viviani,antoine-viviani,1,0,PERSON,antoine viviani,Q106540642,Antoine Viviani,French filmmaker and multidisciplinary artist
post_tag,1414,Antonin Lhôte,antonin-lhote,2,0,PERSON,Antonin Lhôte,,,
post_tag,832,Antonin Sabot,antonin-sabot,3,0,PERSON,Antonin Sabot,Q117378983,Antonin Sabot,
post_tag,579,apache,apache,1,0,,apache,Q616563,Apache,instrumental composed by Jerry Lordan
post_tag,2183,API,api,38,0,,API,Q30034,Apis mellifera,species of insect
post_tag,3135,api key,api-key,1,0,,api key,Q4781495,application programming interface key,unique user identifier
post_tag,1786,API-centric application,api-centric-application,1,0,,API centric application,,,
post_tag,2427,Apidoc,apidoc,2,0,MISC,Apidoc,,,
post_tag,2112,APK,apk,1,0,MISC,APK,Q4779218,Apataki Airport,airport in France
post_tag,2299,App,app,1,0,MISC,App,Q620615,mobile app,software application designed to run on mobile devices
post_tag,3154,App Store Optimization,app-store-optimization,1,0,MISC,App Store Optimization,Q3620772,App store optimization,process of improving the visibility of a mobile app in an app store
post_tag,1651,apparition,apparition,18,0,,apparition,Q11398090,creation,intentional activity during which something comes into being and gains its characteristics
post_tag,223,Apple,apple,9,0,ORG,Apple,Q312,Apple Inc.,"American multinational technology company based in Cupertino, California"
post_tag,2321,Apple News de Apple,apple-news-de-apple,1,0,ORG,Apple News de Apple,,,
post_tag,503,AppleScript,applescript,2,0,MISC,Apple Script,Q129137,AppleScript,scripting language by Apple
post_tag,526,applicatif,applicatif,1,0,,applicatif,Q166142,application software,software program or group of programs designed for end-users
post_tag,163,application,application,17,0,,application,Q166142,application software,software program or group of programs designed for end-users
post_tag,904,application richmedia,application-richmedia,1,0,,application richmedia,,,
post_tag,2447,Applications,applications,2,0,MISC,Applications,Q166142,application software,software program or group of programs designed for end-users
post_tag,2651,Applied computing,applied-computing,1,0,ORG,Applied computing,Q100326522,applied computing,"the practical application of computer principles, concepts and technologies to address real-world problems"
post_tag,164,apps,apps,3,0,MISC,apps,Q19901864,Apps,family name
post_tag,1730,après-mine,apres-mine,1,0,,après mine,Q16039129,Après-mine,
post_tag,697,arabe,arabe,1,0,,arabe,Q13955,Arabic,Semitic language and lingua franca of the Arab world
post_tag,242,archéologie,archeologie,1,0,,archéologie,Q23498,archaeology,study of the past via material culture
post_tag,1849,architecture,architecture,1,0,,architecture,Q12271,architecture,"process of planning, designing and construction"
post_tag,1907,argent,argent,1,0,,argent,Q936472,argent,metal (tincture) of silver in heraldry
post_tag,933,argentine,argentine,1,0,LOC,argentine,Q414,Argentina,country in South America
post_tag,1319,arik bernstein,arik-bernstein,1,0,PERSON,arik bernstein,Q65115517,Arik Bernstein,
post_tag,2603,Array,array,1,0,LOC,Array,Q186152,array data structure,data structure holding elements in a contiguous memory block
post_tag,709,arte,arte,13,0,ORG,arte,Q8073,Arte,Franco-German television channel and network
post_tag,934,arte reportage,arte-reportage,1,0,PERSON,arte reportage,Q2864825,Arte Reportage,
post_tag,1320,arte webdocs,arte-webdocs,2,0,MISC,arte webdocs,,,
post_tag,276,article,article,26,0,,article,Q191067,article,text that forms an independent part of a publication
post_tag,330,articles,articles,2,0,,articles,Q768186,sports equipment,object used for sport or exercise
post_tag,2777,artificial intelligence,artificial-intelligence,7,0,,artificial intelligence,Q4801030,Artificial Intelligence,journal published by Elsevier
post_tag,395,AS2,as2,1,0,MISC,AS2,Q297170,AS2,network protocol
post_tag,396,AS3,as3,1,0,MISC,AS3,Q18043031,AS3MT,protein-coding gene in the species Homo sapiens
post_tag,2975,asana,asana,1,0,,asana,Q466797,asana,postures in hatha yoga and modern yoga practice
post_tag,3153,ASO,aso,1,0,ORG,ASO,Q733681,Aso,"city in Kumamoto Prefecture, Japan"
post_tag,411,Assistance,assistance,1,0,MISC,Assistance,Q2867205,Assistance Publique – Hôpitaux de Paris,University hospital trust operating in Paris and its suburbs
post_tag,1267,astuce,astuce,4,0,,astuce,Q17517,mobile phone,portable device to make telephone calls using a radio link
post_tag,1268,astuce du jour,astuce-du-jour,4,0,,astuce du jour,,,
post_tag,388,Async Tracking,async-tracking,1,0,PERSON,Async Tracking,,,
post_tag,1415,atelier,atelier,3,0,,atelier,Q746628,studio,"working place set aside for artist to work, the term is generally applied to workspaces used by artists creating fine art, particularly art dating from the 16th century to the present"
post_tag,1416,atelier desmédias,atelier-desmedias,1,0,PERSON,atelier desmédias,,,
post_tag,1602,Athènes,athenes,1,0,LOC,Athènes,Q1524,Athens,capital and largest city of Greece
post_tag,3312,Atlas,atlas,1,0,ORG,Atlas,Q299002,ATLAS experiment,CERN LHC experiment
post_tag,2120,Atlassian,atlassian,1,0,LOC,Atlassian,Q757307,Atlassian,Australian enterprise software company
post_tag,1802,Au-de-là du nuage,au-de-la-du-nuage,1,0,MISC,Au de là du nuage,,,
post_tag,1803,AU-DELA DU NUAGE,au-dela-du-nuage,1,0,MISC,AU DELA DU NUAGE,,,
post_tag,161,audience,audience,1,0,,audience,Q211198,audience,group of people who participate in a show or encounter a work of art
post_tag,325,audio,audio,50,0,,audio,Q3500685,audio,HTML element
post_tag,1557,Auféminin.com,aufeminin-com,1,0,PERSON,Auféminin com,,,
post_tag,1199,Aung San Suu Kyi,aung-san-suu-kyi,1,0,PERSON,Aung San Suu Kyi,Q36740,Aung San Suu Kyi,former State Counsellor of Myanmar and Leader of the National League for Democracy
post_tag,1731,Aurélie Filippetti,aurelie-filippetti,1,0,PERSON,Aurélie Filippetti,Q198005,Aurélie Filippetti,French politician and writer
post_tag,1163,Australie,australie,1,0,LOC,Australie,Q408,Australia,country in Oceania
post_tag,342,Auteur,auteur,2,0,PERSON,Auteur,Q36180,writer,person who uses written words to communicate ideas and to produce literary works
post_tag,1464,auteur réalisateur,auteur-realisateur,1,0,,auteur réalisateur,,,
post_tag,2259,auteurs,auteurs,1,0,,auteurs,Q18939491,diarist,person who writes a personal journal
post_tag,2147,Automate,automate,6,0,ORG,Automate,Q4480274,Automate,genus of crustaceans
post_tag,2646,Automatic fact-checking,automatic-fact-checking,1,0,ORG,Automatic fact checking,Q127768546,Automatic Fact-Checking Using Context and Discourse Information,scholarly article
post_tag,504,automation,automation,5,0,,automation,Q184199,automation,control systems using technology such that a process or procedure is performed with minimal human assistance
post_tag,1041,avancées,avancees,1,0,,avancées,Q2873267,Avancées technologiques liées à la conquête de l'espace,
post_tag,784,AWS,aws,1,0,MISC,AWS,Q456157,Amazon Web Services,subsidiary of Amazon that provides on-demand cloud computing platforms on a metered pay-as-you-go basis
post_tag,1075,axa,axa,1,0,PERSON,axa,Q160054,AXA,French multinational insurance firm
post_tag,3169,axios,axios,1,0,,axios,Q189596,Vardar,river in North Macedonia and Greece
post_tag,513,Axure,axure,6,0,LOC,Axure,Q4034651,Axure RP,Prototyping Software
post_tag,1917,Azure,azure,3,0,MISC,Azure,Q1785501,azure,tincture of blue in heraldry
post_tag,3072,Azure Cli,azure-cli,2,0,ORG,Azure Cli,Q107383735,azure-cli,Python library
post_tag,3158,Backend,backend,1,0,PERSON,Backend,Q11223899,back end,the part of a piece of software or computer hardware with which the user does not interact
post_tag,308,Backup,backup,2,0,LOC,Backup,Q194274,backup,copy of computer data taken and stored so that it may be used to restore the original
post_tag,460,Bada,bada,1,0,PERSON,Bada,Q498805,Bada,"South Korean singer, member of S.E.S."
post_tag,465,Balsamiq,balsamiq,7,0,PERSON,Balsamiq,Q4852549,Balsamiq,web-based software design tool for creating wireframes
post_tag,1908,Balzac,balzac,1,0,PERSON,Balzac,Q9711,Honoré de Balzac,French novelist and playwright (1799–1850)
post_tag,1603,Bankslave,bankslave,1,0,PERSON,Bankslave,,,
post_tag,1054,Banksy,banksy,1,0,MISC,Banksy,Q133600,Banksy,"English graffiti artist, political activist, and painter"
post_tag,1604,Bansky,bansky,1,0,PERSON,Bansky,Q37129,methane,simplest organic molecule with one carbon atom and four hydrogen
post_tag,2368,Barroso,barroso,1,0,LOC,Barroso,Q16479892,Barroso,family name
post_tag,232,base de données,base-de-donnees,2,0,,base de données,Q8513,database,organized collection of data in computing
post_tag,2605,Basic Automation,basic-automation,1,0,MISC,Basic Automation,,,
post_tag,1605,Bastardilla,bastardilla,1,0,PERSON,Bastardilla,Q100324121,Bastardilla,Colombian street artist
post_tag,3221,battle-tested,battle-tested,1,0,,battle tested,Q95367886,Battle tested,"scientific article published on January 1, 2015"
post_tag,1592,Bayard-Presse,bayard-presse,1,0,MISC,Bayard Presse,Q929887,Bayard Presse,French media enterprise
post_tag,580,BBC,bbc,2,0,ORG,BBC,Q9531,British Broadcasting Corporation,British public service broadcaster
post_tag,2108,BBC HongKong,bbc-hongkong,1,0,ORG,BBC Hong Kong,Q105766422,IMO 9372925,multi-purpose dry cargo ship
post_tag,2352,BDD,bdd,1,0,MISC,BDD,Q8513,database,organized collection of data in computing
post_tag,1528,Bear 71,bear-71,1,0,MISC,Bear 71,Q4876346,Bear 71,2012 film
post_tag,2638,Beautiful Soup,beautiful-soup,1,0,ORG,Beautiful Soup,Q2893296,Beautiful Soup,Python HTML/XML parser
post_tag,2897,Beautifull soup,beautifull-soup,1,0,LOC,Beautifull soup,,,
post_tag,2642,BeautifulSoup,beautifulsoup,2,0,ORG,Beautiful Soup,Q2893296,Beautiful Soup,Python HTML/XML parser
post_tag,2353,Behat,behat,1,0,LOC,Behat,Q260645,Behati Prinsloo,Namibian model
post_tag,2357,behaviour driven development,behaviour-driven-development,1,0,,behaviour driven development,Q814447,behavior-driven development,Agile software development process
post_tag,1321,belgique,belgique,2,0,LOC,belgique,Q31,Belgium,country in western Europe
post_tag,770,Ben Fundis,ben-fundis,1,0,PERSON,Ben Fundis,,,
post_tag,2400,Ben Hollis,ben-hollis,1,0,PERSON,Ben Hollis,,,
post_tag,1164,Bénin,benin,1,0,LOC,Bénin,Q962,Benin,sovereign state in West Africa
post_tag,1704,Benjamin Fernandez,benjamin-fernandez,1,0,PERSON,Benjamin Fernandez,Q83986498,Benjamín Fernández,Spanish production designer
post_tag,527,bergson,bergson,1,0,PERSON,bergson,Q21493590,Bergson,family name
post_tag,1322,berke bas,berke-bas,1,0,PERSON,berke bas,Q26911499,Berke Baş,Turkish film director
post_tag,820,Berlin 1989,berlin-1989,1,0,LOC,Berlin 1989,Q60594308,Berlin 1989,play written by Dimítris Generális
post_tag,833,Bertrand meunier,bertrand-meunier,1,0,PERSON,Bertrand meunier,Q2899621,Bertrand Meunier,French photographer
post_tag,2344,best practices,best-practices,4,0,,best practices,Q830382,best practice,method or technique that has been generally accepted as superior to alternatives either because it produces results that are better or because it has become a standard way of doing things
post_tag,1106,Bêta,beta,3,0,MISC,Bêta,Q3761162,Beta,genus of the foxtail family
post_tag,607,Big Data,big-data,1,0,MISC,Big Data,Q858810,big data,"information assets characterized by such a high volume, velocity, and variety to require specific technology and analytical methods for its transformation into value"
post_tag,2084,BigData,bigdata,2,0,MISC,Big Data,Q858810,big data,"information assets characterized by such a high volume, velocity, and variety to require specific technology and analytical methods for its transformation into value"
post_tag,1992,Bim.im,bim-im,1,0,ORG,Bim im,Q126349477,BIM im konstruktiven Ingenieurbau – ein Erfahrungsbericht der DEGES,scholarly article
post_tag,1993,BioWeb.me,bioweb-me,1,0,MISC,Bio Web me,,,
post_tag,1200,Birmanie,birmanie,1,0,LOC,Birmanie,Q836,Myanmar,country in Southeast Asia
post_tag,1990,Bit.ly,bit-ly,1,0,MISC,Bit ly,,,
post_tag,2116,Bitbucket,bitbucket,1,0,MISC,Bitbucket,Q2493781,Bitbucket,web-based hosting service for software development projects
post_tag,1994,Bitl.in,bitl-in,1,0,MISC,Bitl in,,,
post_tag,1995,Bitlan,bitlan,1,0,MISC,Bitlan,Q112148644,Bitlands,2022 video game
post_tag,258,blackberry,blackberry,4,0,MISC,blackberry,Q502121,BlackBerry,enterprise software and the Internet of things company
post_tag,2058,Blade,blade,1,0,MISC,Blade,Q881024,Blade,fictional character in Marvel Comics
post_tag,1606,Bleeps,bleeps,1,0,PERSON,Bleeps,Q106522080,bleep techno,subgenre of techno
post_tag,1791,Blender,blender,1,0,MISC,Blender,Q173136,Blender,free and open-source 3D computer graphics software
post_tag,339,Blip.tv,bliptv,1,0,MISC,Blip tv,Q2037777,Blip,American media platform for web series
post_tag,2879,blockchain,blockchain,1,0,,blockchain,Q20514253,blockchain,distributed data store for digital transactions
post_tag,234,blog,blog,6,0,,blog,Q30849,blog,"discussion or informational website consisting of discrete, often informal diary-style text entries (posts)"
post_tag,743,blogdoc,blogdoc,1,0,LOC,blogdoc,,,
post_tag,1607,Blu,blu,1,0,ORG,Blu,Q885529,Blu,American rapper and music producer
post_tag,1076,Blue Zone,blue-zone,1,0,MISC,Blue Zone,Q4930040,Blue Zone,British band
post_tag,1513,bluecadet,bluecadet,1,0,LOC,bluecadet,,,
post_tag,1558,BluePress,bluepress,1,0,MISC,Blue Press,,,
post_tag,220,Blueprint,blueprint,1,0,ORG,Blueprint,Q422321,blueprint,document reproduction created by using a contact print process on light-sensitive sheets
post_tag,1042,Bocoup,bocoup,1,0,LOC,Bocoup,,,
post_tag,1608,Bogota,bogota,1,0,LOC,Bogota,Q2841,Bogotá,capital city of Colombia
post_tag,3160,boilerplate codes,boilerplate-codes,1,0,,boilerplate codes,,,
post_tag,762,bollendorff,bollendorff,2,0,PERSON,bollendorff,Q84221721,Bollendorff,family name
post_tag,688,Bombay Flying Club,bombay-flying-club,1,0,ORG,Bombay Flying Club,Q4940559,Bombay Flying Club,
post_tag,1910,bonnes pratiques,bonnes-pratiques,5,0,,bonnes pratiques,Q830382,best practice,method or technique that has been generally accepted as superior to alternatives either because it produces results that are better or because it has become a standard way of doing things
post_tag,2512,book chapters,book-chapters,1,0,MISC,book chapters,Q96696981,Book Chapters of The 1st Jakarta International Conference on Social Sciences and Humanities (JICoSSH),Indonesian scientific journal
post_tag,771,border stories,border-stories,1,0,,border stories,Q118871550,Border Stories,2019 master's thesis submitted to the University of North Carolina at Charlotte by Christian Silvers Mendoza
post_tag,2597,Boring Stuff,boring-stuff,2,0,MISC,Boring Stuff,,,
post_tag,1559,Boris Cyrulnik,boris-cyrulnik,1,0,MISC,Boris Cyrulnik,Q893645,Boris Cyrulnik,French psychiatrist
post_tag,1516,Boris Razon,boris-razon,1,0,MISC,Boris Razon,Q31017667,Boris Razon,French author
post_tag,284,boutique en ligne,boutique-en-ligne,2,0,,boutique en ligne,Q212930,online shopping,form of electronic commerce
post_tag,1196,bouton,bouton,5,0,,bouton,Q24780655,Bouton,family name
post_tag,1151,boutons d'interface utilisateur,boutons-dinterface-utilisateur,1,0,,boutons d'interface utilisateur,,,
post_tag,2331,Bower,bower,1,0,PERSON,Bower,Q16860304,Bower,family name
post_tag,1996,br.st,br-st,1,0,LOC,br st,Q4034744,British Railways Standard Class 9F,class of 251 two-cylinder 2-10-0 locomotives
post_tag,864,Brand content,brand-content,3,0,PERSON,Brand content,,,
post_tag,1077,brandcontent,brandcontent,1,0,,brandcontent,,,
post_tag,796,Brault,brault,2,0,PERSON,Brault,Q21496344,Brault,family name
post_tag,1043,Brett Gaylor,brett-gaylor,2,0,PERSON,Brett Gaylor,Q3611025,Brett Gaylor,Canadian filmmaker
post_tag,1323,brèves de trottoir,breves-de-trottoir,1,0,,brèves de trottoir,,,
